Sample	PDid	cell_type	Exposure	SBS1+SBS5	SBSBlood	SBS7a	SBS9	SBSA	SBSB	SBSC	SBSD	SBSE	SBSF	SBSG	SBSH	SBSUnassigned	SBSNA
PD50307	PD50307	HSPCs	Chemo	37	709	0	0	0	0	0	0	0	325	0	0	2	0
PD50308	PD50308	HSPCs	Chemo	91	599	0	0	1318	5	0	0	0	0	0	0	1	0
PD60009	PD60009	HSPCs	Chemo	28	943	0	0	0	0	129	214	0	0	0	0	3	0
PD60010	PD60010	HSPCs	Chemo	130	967	0	0	0	0	38	513	0	0	0	0	2	0
PD60011	PD60011	HSPCs	Chemo	35	1287	0	0	0	0	186	291	0	0	0	0	4	0
PD40315	PD40315	HSPCs	Normal	35	31	0	0	0	0	0	0	0	0	0	0	0	0
PD40521	PD40521	HSPCs	Normal	25	539	0	0	0	0	0	0	0	0	0	0	0	0
PD41048	PD41048	HSPCs	Normal	45	834	0	0	0	0	0	0	0	0	0	0	0	0
PD43976	PD43976	HSPCs	Normal	38	1158	0	0	0	0	0	0	0	0	0	0	3	0
PD45534	PD45534	HSPCs	Normal	30	1023	0	0	0	0	0	0	0	0	0	0	3	0
PD47738	PD47738	HSPCs	Normal	62	1299	0	0	0	0	0	0	0	0	0	0	1	0
PD48402	PD48402	HSPCs	Normal	37	1281	0	0	0	0	0	0	0	0	0	0	1	0
PD49236	PD49236	HSPCs	Normal	37	929	0	0	0	0	0	0	0	0	0	0	1	0
PD49237	PD49237	HSPCs	Normal	43	1131	0	0	0	0	0	0	0	0	0	0	1	0
PD41048aa_ds0001	PD41048	B cells	Normal	348	766	0	0	0	0	0	0	0	0	0	0	46	0
PD41048e_ds0001	PD41048	Monocytes	Normal	447	867	0	0	0	0	0	0	0	0	0	0	0	0
PD41048h_ds0001	PD41048	Naive CD4 cells	Normal	931	647	0	0	0	0	0	0	0	0	0	0	0	0
PD41048i_ds0001	PD41048	Memory CD4 cells	Normal	943	1136	266	0	0	0	0	0	0	0	0	0	73	0
PD41048j_ds0001	PD41048	Naive CD8 cells	Normal	494	721	120	0	0	0	0	0	0	0	0	0	0	0
PD41048k_ds0001	PD41048	Memory CD8 cells	Normal	1477	968	76	0	0	0	0	0	0	0	0	0	25	0
PD43976vo_ds0001	PD43976	Monocytes	Normal	522	997	0	0	0	0	0	0	0	0	0	0	15	0
PD43976vv_ds0001	PD43976	Naive CD4 cells	Normal	605	1139	0	0	0	0	0	0	0	0	0	0	36	0
PD43976vy_ds0001	PD43976	Memory CD4 cells	Normal	1049	1522	812	0	0	0	0	0	0	0	0	0	0	0
PD43976wk_ds0001	PD43976	B cells	Normal	694	925	0	601	0	0	0	0	0	0	0	0	92	0
PD45534aro_ds0001	PD45534	Monocytes	Normal	374	1327	0	0	0	0	0	0	0	0	0	0	0	0
PD45534ars_ds0001	PD45534	Naive CD4 cells	Normal	984	1252	0	0	0	0	0	0	0	0	0	0	0	0
PD45534art_ds0001	PD45534	Memory CD4 cells	Normal	1741	1620	526	0	0	0	0	0	0	0	0	0	162	0
PD45534aru_ds0001	PD45534	Naive CD8 cells	Normal	2590	1275	0	0	0	0	0	0	0	0	0	0	120	0
PD45534arv_ds0001	PD45534	Memory CD8 cells	Normal	2081	1610	236	0	0	0	0	0	0	0	0	0	0	0
PD45534arx_ds0001	PD45534	B cells	Normal	538	1094	0	104	0	0	0	0	0	0	0	0	0	0
PD47536b_ds0001	PD47536	B cells	Chemo	491	909	0	218	0	0	0	0	0	0	200	0	0	0
PD47536b_ds0002	PD47536	Memory T cells	Chemo	1237	949	259	0	0	0	0	0	0	0	431	0	0	0
PD47536b_ds0003	PD47536	Naive T cells	Chemo	1092	1044	0	0	0	0	0	0	0	0	214	0	24	0
PD47536b_ds0004	PD47536	Monocytes	Chemo	477	886	0	0	0	0	0	0	0	0	0	0	0	0
PD47537b_ds0001	PD47537	B cells	Chemo	437	1148	0	91	0	0	0	0	0	0	146	0	0	0
PD47537b_ds0002	PD47537	Memory T cells	Chemo	1235	1117	323	0	0	0	0	0	0	0	265	0	0	0
PD47537b_ds0003	PD47537	Naive T cells	Chemo	1161	1137	0	0	0	0	0	0	0	0	71	0	0	0
PD47537b_ds0004	PD47537	Monocytes	Chemo	324	1172	0	0	0	0	0	0	0	31	0	0	15	0
PD47538b_ds0001	PD47538	B cells	Chemo	497	974	0	338	0	0	0	0	0	0	179	0	0	0
PD47538b_ds0002	PD47538	Memory T cells	Chemo	946	1173	1665	0	0	0	0	0	0	0	0	0	0	0
PD47538b_ds0003	PD47538	Naive T cells	Chemo	1073	1073	0	0	0	0	0	0	0	0	0	0	44	0
PD47538b_ds0004	PD47538	Monocytes	Chemo	226	1388	0	0	0	0	0	0	0	0	0	0	0	0
PD47539b_ds0001	PD47539	B cells	Chemo	319	1201	0	0	0	0	0	0	0	0	0	0	0	0
PD47539b_ds0002	PD47539	Naive T cells	Chemo	1627	1386	0	0	0	0	0	0	0	0	0	0	0	0
PD47539b_ds0003	PD47539	Memory T cells	Chemo	2427	1275	411	0	0	0	0	0	0	0	0	0	0	0
PD47539b_ds0004	PD47539	Monocytes	Chemo	490	1041	0	0	0	0	0	0	0	0	0	0	0	0
PD47540b_ds0001	PD47540	B cells	Chemo	316	1058	0	0	0	0	0	0	0	0	0	0	0	0
PD47540b_ds0002	PD47540	Naive T cells	Chemo	451	1168	0	0	0	0	0	0	0	0	0	0	50	0
PD47540b_ds0003	PD47540	Memory T cells	Chemo	1478	1238	722	0	0	0	0	0	0	0	0	0	0	0
PD47540b_ds0004	PD47540	Monocytes	Chemo	293	1102	0	0	0	0	0	0	0	0	0	0	0	0
PD47541b_ds0004	PD47541	Monocytes	Chemo	387	774	0	0	0	0	0	471	0	0	0	0	51	0
PD47695b_ds0001	PD47695	B cells	Chemo	775	1152	0	168	0	0	0	0	0	0	0	0	0	0
PD47695b_ds0002	PD47695	Memory T cells	Chemo	2146	2017	129	0	0	0	0	0	0	0	0	0	0	0
PD47696b_ds0001	PD47696	B cells	Chemo	887	1647	0	0	0	0	0	0	0	0	0	0	0	0
PD47696b_ds0002	PD47696	Memory T cells	Chemo	1856	1772	591	0	0	0	0	0	0	0	0	0	0	0
