Sample	Patient	Method
PD37580_166	PD37580	colonies
PD37580_145	PD37580	colonies
PD37580_164	PD37580	colonies
PD37580_144	PD37580	colonies
PD37580_116	PD37580	colonies
PD37580_163	PD37580	colonies
PD37580_132	PD37580	colonies
PD37580_167	PD37580	colonies
PD37580_139	PD37580	colonies
PD37580_137	PD37580	colonies
PD37580_114	PD37580	colonies
PD37580_110	PD37580	colonies
PD37580_99	PD37580	colonies
PD37580_128	PD37580	colonies
PD37580_143	PD37580	colonies
PD37580_90	PD37580	colonies
PD37580_159	PD37580	colonies
PD37580_93	PD37580	colonies
PD37580_152	PD37580	colonies
PD37580_133	PD37580	colonies
PD37580_123	PD37580	colonies
PD37580_92	PD37580	colonies
PD37580_151	PD37580	colonies
PD37580_148	PD37580	colonies
PD37580_157	PD37580	colonies
PD37580_155	PD37580	colonies
PD37580_129	PD37580	colonies
PD37580_161	PD37580	colonies
PD37580_94	PD37580	colonies
PD37580_130	PD37580	colonies
PD37580_105	PD37580	colonies
PD37580_149	PD37580	colonies
PD37580_150	PD37580	colonies
PD37580_91	PD37580	colonies
PD37580_125	PD37580	colonies
PD37580_154	PD37580	colonies
PD37580_89	PD37580	colonies
PD37580_124	PD37580	colonies
PD37580_153	PD37580	colonies
PD40315_10	PD40315	colonies
PD40315_2	PD40315	colonies
PD40315_9	PD40315	colonies
PD40315_4	PD40315	colonies
PD40315_6	PD40315	colonies
PD40315_18	PD40315	colonies
PD40315_7	PD40315	colonies
PD40315_3	PD40315	colonies
PD40315_8	PD40315	colonies
PD40315_5	PD40315	colonies
PD40315_1	PD40315	colonies
PD40315_14	PD40315	colonies
PD40315_12	PD40315	colonies
PD40315_17	PD40315	colonies
PD40315_13	PD40315	colonies
PD40315_19	PD40315	colonies
PD40315_15	PD40315	colonies
PD40521_35	PD40521	colonies
PD40521_14	PD40521	colonies
PD40521_1	PD40521	colonies
PD40521_34	PD40521	colonies
PD40521_10	PD40521	colonies
PD40521_17	PD40521	colonies
PD40521_32	PD40521	colonies
PD40521_21	PD40521	colonies
PD40521_12	PD40521	colonies
PD40521_15	PD40521	colonies
PD40521_8	PD40521	colonies
PD40521_11	PD40521	colonies
PD40521_38	PD40521	colonies
PD40521_24	PD40521	colonies
PD40521_3	PD40521	colonies
PD40521_39	PD40521	colonies
PD40521_41	PD40521	colonies
PD40521_25	PD40521	colonies
PD40521_4	PD40521	colonies
PD40521_33	PD40521	colonies
PD40521_2	PD40521	colonies
PD40521_22	PD40521	colonies
PD40521_20	PD40521	colonies
PD40521_16	PD40521	colonies
PD40521_28	PD40521	colonies
PD40521_9	PD40521	colonies
PD40521_27	PD40521	colonies
PD40521_18	PD40521	colonies
PD40521_31	PD40521	colonies
