Sample	Patient	Method
PD44579_229	PD44579	colonies
PD44579_236	PD44579	colonies
PD44579_335	PD44579	colonies
PD44579_295	PD44579	colonies
PD44579_249	PD44579	colonies
PD44579_208	PD44579	colonies
PD44579_205	PD44579	colonies
PD44579_206	PD44579	colonies
PD44579_333	PD44579	colonies
PD44579_243	PD44579	colonies
PD44579_287	PD44579	colonies
PD44579_253	PD44579	colonies
PD44579_338	PD44579	colonies
PD44579_232	PD44579	colonies
PD44579_256	PD44579	colonies
PD44579_196	PD44579	colonies
PD44579_247	PD44579	colonies
PD44579_257	PD44579	colonies
PD44579_182	PD44579	colonies
PD44579_179	PD44579	colonies
PD44579_200	PD44579	colonies
PD44579_322	PD44579	colonies
PD44579_242	PD44579	colonies
PD44579_313	PD44579	colonies
PD44579_290	PD44579	colonies
PD44579_282	PD44579	colonies
PD44579_310	PD44579	colonies
PD44579_248	PD44579	colonies
PD44579_334	PD44579	colonies
PD44579_234	PD44579	colonies
PD44579_230	PD44579	colonies
PD44579_212	PD44579	colonies
PD44579_331	PD44579	colonies
PD44579_181	PD44579	colonies
PD44579_226	PD44579	colonies
PD44579_241	PD44579	colonies
PD44579_177	PD44579	colonies
PD44579_303	PD44579	colonies
PD44579_194	PD44579	colonies
PD44579_231	PD44579	colonies
PD44579_238	PD44579	colonies
PD44579_224	PD44579	colonies
PD44579_228	PD44579	colonies
PD44579_274	PD44579	colonies
PD44579_302	PD44579	colonies
PD44579_312	PD44579	colonies
PD44579_278	PD44579	colonies
PD44579_294	PD44579	colonies
PD44579_276	PD44579	colonies
PD44579_186	PD44579	colonies
PD44579_254	PD44579	colonies
PD44579_330	PD44579	colonies
PD44579_289	PD44579	colonies
PD44579_347	PD44579	colonies
PD44579_227	PD44579	colonies
PD44579_304	PD44579	colonies
PD44579_237	PD44579	colonies
PD44579_293	PD44579	colonies
PD44579_195	PD44579	colonies
PD44579_189	PD44579	colonies
PD44579_176	PD44579	colonies
PD44579_286	PD44579	colonies
PD44579_279	PD44579	colonies
PD44579_203	PD44579	colonies
PD44579_202	PD44579	colonies
PD44579_244	PD44579	colonies
PD44579_252	PD44579	colonies
PD45534_150	PD45534	colonies
PD45534_135	PD45534	colonies
PD45534_31	PD45534	colonies
PD45534_10	PD45534	colonies
PD45534_47	PD45534	colonies
PD45534_163	PD45534	colonies
PD45534_102	PD45534	colonies
PD45534_24	PD45534	colonies
PD45534_132	PD45534	colonies
PD45534_22	PD45534	colonies
PD45534_81	PD45534	colonies
PD45534_225	PD45534	colonies
PD45534_3	PD45534	colonies
PD45534_32	PD45534	colonies
PD45534_167	PD45534	colonies
PD45534_198	PD45534	colonies
PD45534_164	PD45534	colonies
PD45534_87	PD45534	colonies
PD45534_48	PD45534	colonies
PD45534_95	PD45534	colonies
PD45534_119	PD45534	colonies
PD45534_65	PD45534	colonies
PD45534_175	PD45534	colonies
PD45534_398	PD45534	colonies
PD45534_161	PD45534	colonies
PD45534_140	PD45534	colonies
PD45534_20	PD45534	colonies
PD45534_168	PD45534	colonies
PD45534_2	PD45534	colonies
PD45534_179	PD45534	colonies
PD45534_139	PD45534	colonies
PD45534_29	PD45534	colonies
PD45534_177	PD45534	colonies
PD45534_109	PD45534	colonies
PD45534_138	PD45534	colonies
PD45534_184	PD45534	colonies
PD45534_30	PD45534	colonies
PD45534_117	PD45534	colonies
PD45534_88	PD45534	colonies
PD45534_193	PD45534	colonies
PD45534_76	PD45534	colonies
PD45534_327	PD45534	colonies
PD45534_54	PD45534	colonies
PD45534_106	PD45534	colonies
PD45534_64	PD45534	colonies
PD45534_82	PD45534	colonies
PD45534_57	PD45534	colonies
PD45534_67	PD45534	colonies
PD45534_120	PD45534	colonies
PD45534_49	PD45534	colonies
PD45534_19	PD45534	colonies
PD45534_83	PD45534	colonies
PD45534_4	PD45534	colonies
PD45534_213	PD45534	colonies
PD45534_90	PD45534	colonies
PD45534_194	PD45534	colonies
PD45534_143	PD45534	colonies
PD45534_154	PD45534	colonies
PD45534_173	PD45534	colonies
PD45534_123	PD45534	colonies
PD45534_172	PD45534	colonies
PD45534_43	PD45534	colonies
PD45534_115	PD45534	colonies
PD45534_77	PD45534	colonies
PD45534_15	PD45534	colonies
PD45534_61	PD45534	colonies
PD45534_66	PD45534	colonies
PD45534_176	PD45534	colonies
PD45534_284	PD45534	colonies
PD45534_195	PD45534	colonies
PD45534_1	PD45534	colonies
PD45534_110	PD45534	colonies
PD45534_16	PD45534	colonies
PD45534_174	PD45534	colonies
PD45534_159	PD45534	colonies
PD45534_34	PD45534	colonies
PD45534_127	PD45534	colonies
PD45534_40	PD45534	colonies
PD45534_185	PD45534	colonies
PD45534_170	PD45534	colonies
PD45534_285	PD45534	colonies
PD45534_8	PD45534	colonies
PD45534_359	PD45534	colonies
PD45534_162	PD45534	colonies
PD45534_178	PD45534	colonies
PD45534_122	PD45534	colonies
PD45534_348	PD45534	colonies
PD45534_118	PD45534	colonies
PD45534_73	PD45534	colonies
PD45534_196	PD45534	colonies
PD45534_58	PD45534	colonies
PD45534_17	PD45534	colonies
PD45534_35	PD45534	colonies
PD45534_62	PD45534	colonies
PD45534_37	PD45534	colonies
PD45534_112	PD45534	colonies
PD45534_72	PD45534	colonies
PD45534_376	PD45534	colonies
PD45534_59	PD45534	colonies
PD45534_5	PD45534	colonies
PD45534_190	PD45534	colonies
PD45534_158	PD45534	colonies
PD45534_134	PD45534	colonies
PD45534_146	PD45534	colonies
PD45534_313	PD45534	colonies
PD45534_133	PD45534	colonies
PD45534_298	PD45534	colonies
PD45534_41	PD45534	colonies
PD45534_46	PD45534	colonies
PD45534_114	PD45534	colonies
PD45534_239	PD45534	colonies
PD45534_181	PD45534	colonies
PD45534_393	PD45534	colonies
PD45534_69	PD45534	colonies
PD45534_328	PD45534	colonies
PD45534_156	PD45534	colonies
PD45534_276	PD45534	colonies
PD45534_155	PD45534	colonies
PD45534_63	PD45534	colonies
PD45534_23	PD45534	colonies
PD45534_103	PD45534	colonies
PD45534_137	PD45534	colonies
PD45534_151	PD45534	colonies
PD45534_52	PD45534	colonies
PD45534_191	PD45534	colonies
PD45534_28	PD45534	colonies
PD45534_126	PD45534	colonies
PD45534_180	PD45534	colonies
PD45534_86	PD45534	colonies
PD45534_166	PD45534	colonies
PD45534_384	PD45534	colonies
PD45534_89	PD45534	colonies
PD45534_281	PD45534	colonies
PD45534_165	PD45534	colonies
PD45534_39	PD45534	colonies
PD45534_136	PD45534	colonies
PD45534_107	PD45534	colonies
PD45534_128	PD45534	colonies
PD45534_131	PD45534	colonies
PD45534_42	PD45534	colonies
PD45534_324	PD45534	colonies
PD45534_50	PD45534	colonies
PD45534_7	PD45534	colonies
PD45534_33	PD45534	colonies
PD45534_130	PD45534	colonies
PD45534_111	PD45534	colonies
PD45534_188	PD45534	colonies
PD45534_258	PD45534	colonies
PD45534_160	PD45534	colonies
PD45534_71	PD45534	colonies
PD45534_121	PD45534	colonies
PD45534_91	PD45534	colonies
PD45534_14	PD45534	colonies
PD45534_80	PD45534	colonies
PD45534_104	PD45534	colonies
PD45534_85	PD45534	colonies
PD45534_141	PD45534	colonies
PD45534_243	PD45534	colonies
PD45534_105	PD45534	colonies
PD45534_183	PD45534	colonies
PD45534_108	PD45534	colonies
PD45534_275	PD45534	colonies
PD45534_187	PD45534	colonies
PD45534_362	PD45534	colonies
PD45534_169	PD45534	colonies
PD45534_9	PD45534	colonies
PD45534_249	PD45534	colonies
PD45534_125	PD45534	colonies
PD45534_74	PD45534	colonies
PD45534_320	PD45534	colonies
PD45534_322	PD45534	colonies
PD45534_97	PD45534	colonies
PD45534_171	PD45534	colonies
PD45534_36	PD45534	colonies
PD45534_6	PD45534	colonies
PD45534_38	PD45534	colonies
PD45534_56	PD45534	colonies
PD45534_200	PD45534	colonies
PD45534_113	PD45534	colonies
PD45534_147	PD45534	colonies
PD45534_18	PD45534	colonies
PD45534_396	PD45534	colonies
PD45534_142	PD45534	colonies
PD45534_51	PD45534	colonies
PD45534_84	PD45534	colonies
PD45534_124	PD45534	colonies
PD45534_13	PD45534	colonies
PD45534_326	PD45534	colonies
PD45534_269	PD45534	colonies
PD45534_116	PD45534	colonies
PD45534_68	PD45534	colonies
PD45534_26	PD45534	colonies
PD45534_277	PD45534	colonies
PD45534_96	PD45534	colonies
PD45534_305	PD45534	colonies
PD45534_182	PD45534	colonies
PD45534_192	PD45534	colonies
PD45534_189	PD45534	colonies
PD45534_25	PD45534	colonies
PD45534_261	PD45534	colonies
PD45534_360	PD45534	colonies
PD45534_70	PD45534	colonies
PD45534_197	PD45534	colonies
PD45534_235	PD45534	colonies
PD45534_332	PD45534	colonies
PD45534_357	PD45534	colonies
PD45534_92	PD45534	colonies
PD45534_335	PD45534	colonies
PD45534_391	PD45534	colonies
PD45534_349	PD45534	colonies
PD45534_240	PD45534	colonies
PD45534_199	PD45534	colonies
PD45534_372	PD45534	colonies
PD45534_386	PD45534	colonies
PD45534_279	PD45534	colonies
PD45534_250	PD45534	colonies
PD45534_145	PD45534	colonies
PD45534_220	PD45534	colonies
PD45534_280	PD45534	colonies
PD45534_53	PD45534	colonies
PD45534_21	PD45534	colonies
PD45534_300	PD45534	colonies
PD45534_311	PD45534	colonies
PD45534_148	PD45534	colonies
PD45534_149	PD45534	colonies
PD45534_358	PD45534	colonies
PD45534_266	PD45534	colonies
PD45534_27	PD45534	colonies
PD45534_93	PD45534	colonies
PD45534_308	PD45534	colonies
PD45534_238	PD45534	colonies
PD45534_129	PD45534	colonies
PD45534_226	PD45534	colonies
PD45534_44	PD45534	colonies
PD45534_144	PD45534	colonies
PD45534_351	PD45534	colonies
PD45534_325	PD45534	colonies
PD45534_94	PD45534	colonies
PD45534_60	PD45534	colonies
PD45534_98	PD45534	colonies
PD45534_101	PD45534	colonies
PD45534_260	PD45534	colonies
PD45534_12	PD45534	colonies
PD45534_55	PD45534	colonies
PD45534_100	PD45534	colonies
PD45534_11	PD45534	colonies
PD45534_153	PD45534	colonies
PD45534_340	PD45534	colonies
PD45534_75	PD45534	colonies
PD45534_186	PD45534	colonies
PD45534_397	PD45534	colonies
PD45534_314	PD45534	colonies
PD45534_79	PD45534	colonies
PD45534_45	PD45534	colonies
PD45534_253	PD45534	colonies
PD45534_222	PD45534	colonies
PD45534_315	PD45534	colonies
PD45534_78	PD45534	colonies
PD45534_268	PD45534	colonies
PD45534_231	PD45534	colonies
PD45534_99	PD45534	colonies
PD45534_252	PD45534	colonies
PD45534_363	PD45534	colonies
PD45534_379	PD45534	colonies
PD45534_304	PD45534	colonies
PD45534_152	PD45534	colonies
PD45534_157	PD45534	colonies
PD45534_395	PD45534	colonies
PD45534_221	PD45534	colonies
PD45534_283	PD45534	colonies
PD45534_241	PD45534	colonies
PD45534_248	PD45534	colonies
PD45534_321	PD45534	colonies
PD45534_233	PD45534	colonies
PD45534_389	PD45534	colonies
PD45534_234	PD45534	colonies
PD45534_337	PD45534	colonies
PD45534_237	PD45534	colonies
PD45534_270	PD45534	colonies
PD45534_245	PD45534	colonies
PD45534_236	PD45534	colonies
PD45534_387	PD45534	colonies
PD45534_392	PD45534	colonies
PD45534_312	PD45534	colonies
PD45534_390	PD45534	colonies
PD45534_244	PD45534	colonies
PD45534_282	PD45534	colonies
PD45534_303	PD45534	colonies
PD45534_219	PD45534	colonies
PD45534_302	PD45534	colonies
PD45534_310	PD45534	colonies
PD45534_267	PD45534	colonies
PD45534_353	PD45534	colonies
PD45534_307	PD45534	colonies
PD45534_262	PD45534	colonies
PD45534_251	PD45534	colonies
PD45534_293	PD45534	colonies
PD45534_364	PD45534	colonies
PD45534_306	PD45534	colonies
PD45534_316	PD45534	colonies
PD45534_333	PD45534	colonies
PD45534_232	PD45534	colonies
PD45534_230	PD45534	colonies
PD45534_399	PD45534	colonies
PD45534_264	PD45534	colonies
PD45534_227	PD45534	colonies
PD45534_361	PD45534	colonies
PD45534_218	PD45534	colonies
PD45534_378	PD45534	colonies
PD45534_336	PD45534	colonies
PD45534_317	PD45534	colonies
PD45534_224	PD45534	colonies
PD45534_352	PD45534	colonies
PD45534_366	PD45534	colonies
PD45534_223	PD45534	colonies
PD45534_388	PD45534	colonies
PD45534_263	PD45534	colonies
PD45534_274	PD45534	colonies
PD45534_288	PD45534	colonies
PD45534_365	PD45534	colonies
PD45534_330	PD45534	colonies
PD45534_229	PD45534	colonies
PD45534_350	PD45534	colonies
PD45534_287	PD45534	colonies
PD45534_329	PD45534	colonies
PD45534_377	PD45534	colonies
PD45534_385	PD45534	colonies
PD45534_278	PD45534	colonies
PD45534_290	PD45534	colonies
PD45534_228	PD45534	colonies
PD45534_346	PD45534	colonies
PD45534_299	PD45534	colonies
PD45534_265	PD45534	colonies
PD45534_318	PD45534	colonies
PD45534_309	PD45534	colonies
PD45534_214	PD45534	colonies
PD45534_254	PD45534	colonies
PD45534_247	PD45534	colonies
PD45534_342	PD45534	colonies
PD45534_246	PD45534	colonies
PD45534_212	PD45534	colonies
PD45534_256	PD45534	colonies
PD45534_211	PD45534	colonies
PD45534_259	PD45534	colonies
PD45534_374	PD45534	colonies
PD45534_367	PD45534	colonies
PD45534_242	PD45534	colonies
PD45534_286	PD45534	colonies
PD45534_381	PD45534	colonies
PD45534_209	PD45534	colonies
PD45534_301	PD45534	colonies
PD45534_394	PD45534	colonies
PD45534_334	PD45534	colonies
PD45534_380	PD45534	colonies
PD45534_338	PD45534	colonies
PD45534_271	PD45534	colonies
PD45534_202	PD45534	colonies
PD45534_273	PD45534	colonies
PD45534_295	PD45534	colonies
PD45534_296	PD45534	colonies
PD45534_373	PD45534	colonies
PD45534_207	PD45534	colonies
PD45534_345	PD45534	colonies
PD45534_341	PD45534	colonies
PD45534_339	PD45534	colonies
PD45534_347	PD45534	colonies
PD45534_210	PD45534	colonies
PD45534_206	PD45534	colonies
PD45534_292	PD45534	colonies
PD45534_371	PD45534	colonies
PD45534_356	PD45534	colonies
PD45534_257	PD45534	colonies
PD45534_208	PD45534	colonies
PD47536_5	PD47536	colonies
PD47536_1	PD47536	colonies
PD47536_2	PD47536	colonies
PD47536_3	PD47536	colonies
PD47536_9	PD47536	colonies
PD47536_4	PD47536	colonies
PD47536_8	PD47536	colonies
PD47537_17	PD47537	colonies
PD47537_27	PD47537	colonies
PD47537_28	PD47537	colonies
PD47537_56	PD47537	colonies
PD47537_30	PD47537	colonies
PD47537_3	PD47537	colonies
PD47537_29	PD47537	colonies
PD47537_21	PD47537	colonies
PD47537_9	PD47537	colonies
PD47537_18	PD47537	colonies
PD47537_42	PD47537	colonies
PD47537_4	PD47537	colonies
PD47537_7	PD47537	colonies
PD47537_1	PD47537	colonies
PD47537_13	PD47537	colonies
PD47537_11	PD47537	colonies
PD47537_12	PD47537	colonies
PD47537_6	PD47537	colonies
PD47537_35	PD47537	colonies
PD47537_5	PD47537	colonies
PD47537_22	PD47537	colonies
PD47537_32	PD47537	colonies
PD47537_2	PD47537	colonies
PD47537_33	PD47537	colonies
PD47537_44	PD47537	colonies
PD47537_31	PD47537	colonies
PD47537_38	PD47537	colonies
PD47537_24	PD47537	colonies
PD47537_26	PD47537	colonies
PD47537_41	PD47537	colonies
PD47537_36	PD47537	colonies
PD47537_14	PD47537	colonies
PD47537_15	PD47537	colonies
PD47537_8	PD47537	colonies
PD47537_37	PD47537	colonies
PD47537_39	PD47537	colonies
PD47537_25	PD47537	colonies
PD47537_43	PD47537	colonies
PD47537_20	PD47537	colonies
PD47537_68	PD47537	colonies
PD47537_23	PD47537	colonies
PD47537_19	PD47537	colonies
PD47537_16	PD47537	colonies
PD47537_10	PD47537	colonies
PD47537_40	PD47537	colonies
PD47537_34	PD47537	colonies
PD47537_82	PD47537	colonies
PD47537_80	PD47537	colonies
PD47537_79	PD47537	colonies
PD47537_78	PD47537	colonies
PD47537_77	PD47537	colonies
PD47537_85	PD47537	colonies
PD47537_66	PD47537	colonies
PD47537_74	PD47537	colonies
PD47537_59	PD47537	colonies
PD47537_72	PD47537	colonies
PD47537_55	PD47537	colonies
PD47537_49	PD47537	colonies
PD47537_47	PD47537	colonies
PD47537_54	PD47537	colonies
PD47537_70	PD47537	colonies
PD47537_81	PD47537	colonies
PD47537_87	PD47537	colonies
PD47537_48	PD47537	colonies
PD47537_52	PD47537	colonies
PD47537_58	PD47537	colonies
PD47537_60	PD47537	colonies
PD47537_69	PD47537	colonies
PD47537_57	PD47537	colonies
PD47537_61	PD47537	colonies
PD47537_64	PD47537	colonies
PD47537_84	PD47537	colonies
PD47537_63	PD47537	colonies
PD47537_73	PD47537	colonies
PD47537_71	PD47537	colonies
PD47537_65	PD47537	colonies
PD47537_76	PD47537	colonies
PD47537_50	PD47537	colonies
PD47537_67	PD47537	colonies
PD47537_46	PD47537	colonies
PD47538_9	PD47538	colonies
PD47538_10	PD47538	colonies
PD47538_6	PD47538	colonies
PD47538_4	PD47538	colonies
PD47538_3	PD47538	colonies
PD47538_8	PD47538	colonies
PD47538_1	PD47538	colonies
PD47538_2	PD47538	colonies
PD47538_7	PD47538	colonies
PD47538_5	PD47538	colonies
PD47538_14	PD47538	colonies
PD47538_16	PD47538	colonies
PD47538_13	PD47538	colonies
PD47538_12	PD47538	colonies
PD47539_3	PD47539	colonies
PD47539_2	PD47539	colonies
PD47539_4	PD47539	colonies
PD47539_5	PD47539	colonies
PD47539_1	PD47539	colonies
PD47539_9	PD47539	colonies
PD47539_7	PD47539	colonies
PD47540_1	PD47540	colonies
PD47540_4	PD47540	colonies
PD47540_3	PD47540	colonies
PD47540_2	PD47540	colonies
PD47540_5	PD47540	colonies
PD47540_7	PD47540	colonies
PD47540_9	PD47540	colonies
PD47541_7	PD47541	colonies
PD47541_10	PD47541	colonies
PD47541_2	PD47541	colonies
PD47541_1	PD47541	colonies
PD47541_3	PD47541	colonies
PD47541_8	PD47541	colonies
PD47541_9	PD47541	colonies
PD47541_5	PD47541	colonies
PD47541_6	PD47541	colonies
PD47541_4	PD47541	colonies
PD47541_16	PD47541	colonies
PD47541_13	PD47541	colonies
PD47541_15	PD47541	colonies
PD47541_14	PD47541	colonies
PD47541_19	PD47541	colonies
PD47541_12	PD47541	colonies
PD47695_3	PD47695	colonies
PD47695_4	PD47695	colonies
PD47695_2	PD47695	colonies
PD47695_5	PD47695	colonies
PD47695_1	PD47695	colonies
PD47695_9	PD47695	colonies
PD47695_8	PD47695	colonies
PD47696_9	PD47696	colonies
PD47696_4	PD47696	colonies
PD47696_2	PD47696	colonies
PD47696_3	PD47696	colonies
PD47696_1	PD47696	colonies
PD47696_5	PD47696	colonies
PD47696_8	PD47696	colonies
PD47697_5	PD47697	colonies
PD47697_9	PD47697	colonies
PD47697_3	PD47697	colonies
PD47697_7	PD47697	colonies
PD47697_2	PD47697	colonies
PD47697_1	PD47697	colonies
PD47697_8	PD47697	colonies
PD47697_10	PD47697	colonies
PD47697_4	PD47697	colonies
PD47697_6	PD47697	colonies
PD47697_13	PD47697	colonies
PD47697_17	PD47697	colonies
PD47697_12	PD47697	colonies
PD47697_14	PD47697	colonies
PD47697_16	PD47697	colonies
PD47697_18	PD47697	colonies
PD47697_19	PD47697	colonies
PD47698_1	PD47698	colonies
PD47698_6	PD47698	colonies
PD47698_9	PD47698	colonies
PD47698_2	PD47698	colonies
PD47698_7	PD47698	colonies
PD47698_3	PD47698	colonies
PD47698_10	PD47698	colonies
PD47698_8	PD47698	colonies
PD47698_16	PD47698	colonies
PD47698_5	PD47698	colonies
PD47698_4	PD47698	colonies
PD47698_18	PD47698	colonies
PD47698_12	PD47698	colonies
PD47698_15	PD47698	colonies
PD47698_13	PD47698	colonies
PD47698_19	PD47698	colonies
PD47699_4	PD47699	colonies
PD47699_3	PD47699	colonies
PD47699_8	PD47699	colonies
PD47699_15	PD47699	colonies
PD47699_9	PD47699	colonies
PD47699_10	PD47699	colonies
PD47699_2	PD47699	colonies
PD47699_5	PD47699	colonies
PD47699_7	PD47699	colonies
PD47699_6	PD47699	colonies
PD47699_1	PD47699	colonies
PD47699_14	PD47699	colonies
PD47699_19	PD47699	colonies
PD47699_13	PD47699	colonies
PD47699_18	PD47699	colonies
PD47699_16	PD47699	colonies
PD47699_12	PD47699	colonies
PD47700_1	PD47700	colonies
PD47700_3	PD47700	colonies
PD47700_4	PD47700	colonies
PD47700_2	PD47700	colonies
PD47700_7	PD47700	colonies
PD47700_6	PD47700	colonies
PD47701_8	PD47701	colonies
PD47701_4	PD47701	colonies
PD47701_3	PD47701	colonies
PD47701_7	PD47701	colonies
PD47701_9	PD47701	colonies
PD47701_1	PD47701	colonies
PD47701_6	PD47701	colonies
PD47701_10	PD47701	colonies
PD47701_2	PD47701	colonies
PD47701_5	PD47701	colonies
PD47701_15	PD47701	colonies
PD47701_16	PD47701	colonies
PD47701_18	PD47701	colonies
PD47701_19	PD47701	colonies
PD47701_13	PD47701	colonies
PD47701_12	PD47701	colonies
PD47701_17	PD47701	colonies
PD47701_14	PD47701	colonies
PD47702_1	PD47702	colonies
PD47702_8	PD47702	colonies
PD47702_6	PD47702	colonies
PD47702_4	PD47702	colonies
PD47702_10	PD47702	colonies
PD47702_9	PD47702	colonies
PD47702_2	PD47702	colonies
PD47702_3	PD47702	colonies
PD47702_5	PD47702	colonies
PD47702_7	PD47702	colonies
PD47702_13	PD47702	colonies
PD47702_14	PD47702	colonies
PD47702_15	PD47702	colonies
PD47702_18	PD47702	colonies
PD47702_12	PD47702	colonies
PD47702_17	PD47702	colonies
PD47702_16	PD47702	colonies
PD47703-1_35	PD47703	colonies
PD47703-1_120	PD47703	colonies
PD47703-1_395	PD47703	colonies
PD47703-1_167	PD47703	colonies
PD47703-1_147	PD47703	colonies
PD47703-1_107	PD47703	colonies
PD47703-1_137	PD47703	colonies
PD47703-1_27	PD47703	colonies
PD47703-1_34	PD47703	colonies
PD47703-1_50	PD47703	colonies
PD47703-1_164	PD47703	colonies
PD47703-1_32	PD47703	colonies
PD47703-1_169	PD47703	colonies
PD47703-1_158	PD47703	colonies
PD47703-1_302	PD47703	colonies
PD47703-1_170	PD47703	colonies
PD47703-1_6	PD47703	colonies
PD47703-1_78	PD47703	colonies
PD47703-1_361	PD47703	colonies
PD47703-1_153	PD47703	colonies
PD47703-1_47	PD47703	colonies
PD47703-1_177	PD47703	colonies
PD47703-1_86	PD47703	colonies
PD47703-1_136	PD47703	colonies
PD47703-1_104	PD47703	colonies
PD47703-1_165	PD47703	colonies
PD47703-1_118	PD47703	colonies
PD47703-1_124	PD47703	colonies
PD47703-1_149	PD47703	colonies
PD47703-1_163	PD47703	colonies
PD47703-1_25	PD47703	colonies
PD47703-1_74	PD47703	colonies
PD47703-1_176	PD47703	colonies
PD47703-1_106	PD47703	colonies
PD47703-1_138	PD47703	colonies
PD47703-1_154	PD47703	colonies
PD47703-1_173	PD47703	colonies
PD47703-1_172	PD47703	colonies
PD47703-1_197	PD47703	colonies
PD47703-1_331	PD47703	colonies
PD47703-1_82	PD47703	colonies
PD47703-1_179	PD47703	colonies
PD47703-1_188	PD47703	colonies
PD47703-1_36	PD47703	colonies
PD47703-1_189	PD47703	colonies
PD47703-1_89	PD47703	colonies
PD47703-1_101	PD47703	colonies
PD47703-1_117	PD47703	colonies
PD47703-1_45	PD47703	colonies
PD47703-1_7	PD47703	colonies
PD47703-1_53	PD47703	colonies
PD47703-1_110	PD47703	colonies
PD47703-1_194	PD47703	colonies
PD47703-1_4	PD47703	colonies
PD47703-1_49	PD47703	colonies
PD47703-1_122	PD47703	colonies
PD47703-1_43	PD47703	colonies
PD47703-1_76	PD47703	colonies
PD47703-1_37	PD47703	colonies
PD47703-1_289	PD47703	colonies
PD47703-1_116	PD47703	colonies
PD47703-1_278	PD47703	colonies
PD47703-1_146	PD47703	colonies
PD47703-1_94	PD47703	colonies
PD47703-1_33	PD47703	colonies
PD47703-1_51	PD47703	colonies
PD47703-1_161	PD47703	colonies
PD47703-1_60	PD47703	colonies
PD47703-1_133	PD47703	colonies
PD47703-1_54	PD47703	colonies
PD47703-1_90	PD47703	colonies
PD47703-1_46	PD47703	colonies
PD47703-1_69	PD47703	colonies
PD47703-1_199	PD47703	colonies
PD47703-1_38	PD47703	colonies
PD47703-1_160	PD47703	colonies
PD47703-1_334	PD47703	colonies
PD47703-1_52	PD47703	colonies
PD47703-1_20	PD47703	colonies
PD47703-1_144	PD47703	colonies
PD47703-1_180	PD47703	colonies
PD47703-1_131	PD47703	colonies
PD47703-1_182	PD47703	colonies
PD47703-1_44	PD47703	colonies
PD47703-1_183	PD47703	colonies
PD47703-1_132	PD47703	colonies
PD47703-1_39	PD47703	colonies
PD47703-1_70	PD47703	colonies
PD47703-1_75	PD47703	colonies
PD47703-1_272	PD47703	colonies
PD47703-1_128	PD47703	colonies
PD47703-1_65	PD47703	colonies
PD47703-1_200	PD47703	colonies
PD47703-1_102	PD47703	colonies
PD47703-1_64	PD47703	colonies
PD47703-1_96	PD47703	colonies
PD47703-1_79	PD47703	colonies
PD47703-1_185	PD47703	colonies
PD47703-1_19	PD47703	colonies
PD47703-1_387	PD47703	colonies
PD47703-1_100	PD47703	colonies
PD47703-1_103	PD47703	colonies
PD47703-1_83	PD47703	colonies
PD47703-1_111	PD47703	colonies
PD47703-1_156	PD47703	colonies
PD47703-1_29	PD47703	colonies
PD47703-1_171	PD47703	colonies
PD47703-1_56	PD47703	colonies
PD47703-1_13	PD47703	colonies
PD47703-1_91	PD47703	colonies
PD47703-1_195	PD47703	colonies
PD47703-1_88	PD47703	colonies
PD47703-1_16	PD47703	colonies
PD47703-1_196	PD47703	colonies
PD47703-1_174	PD47703	colonies
PD47703-1_282	PD47703	colonies
PD47703-1_142	PD47703	colonies
PD47703-1_55	PD47703	colonies
PD47703-1_99	PD47703	colonies
PD47703-1_31	PD47703	colonies
PD47703-1_190	PD47703	colonies
PD47703-1_14	PD47703	colonies
PD47703-1_181	PD47703	colonies
PD47703-1_157	PD47703	colonies
PD47703-1_72	PD47703	colonies
PD47703-1_66	PD47703	colonies
PD47703-1_112	PD47703	colonies
PD47703-1_166	PD47703	colonies
PD47703-1_323	PD47703	colonies
PD47703-1_40	PD47703	colonies
PD47703-1_85	PD47703	colonies
PD47703-1_159	PD47703	colonies
PD47703-1_109	PD47703	colonies
PD47703-1_155	PD47703	colonies
PD47703-1_87	PD47703	colonies
PD47703-1_30	PD47703	colonies
PD47703-1_93	PD47703	colonies
PD47703-1_184	PD47703	colonies
PD47703-1_115	PD47703	colonies
PD47703-1_42	PD47703	colonies
PD47703-1_2	PD47703	colonies
PD47703-1_356	PD47703	colonies
PD47703-1_355	PD47703	colonies
PD47703-1_178	PD47703	colonies
PD47703-1_68	PD47703	colonies
PD47703-1_57	PD47703	colonies
PD47703-1_119	PD47703	colonies
PD47703-1_192	PD47703	colonies
PD47703-1_62	PD47703	colonies
PD47703-1_383	PD47703	colonies
PD47703-1_141	PD47703	colonies
PD47703-1_162	PD47703	colonies
PD47703-1_198	PD47703	colonies
PD47703-1_150	PD47703	colonies
PD47703-1_1	PD47703	colonies
PD47703-1_95	PD47703	colonies
PD47703-1_316	PD47703	colonies
PD47703-1_123	PD47703	colonies
PD47703-1_168	PD47703	colonies
PD47703-1_208	PD47703	colonies
PD47703-1_274	PD47703	colonies
PD47703-1_24	PD47703	colonies
PD47703-1_92	PD47703	colonies
PD47703-1_41	PD47703	colonies
PD47703-1_143	PD47703	colonies
PD47703-1_105	PD47703	colonies
PD47703-1_15	PD47703	colonies
PD47703-1_186	PD47703	colonies
PD47703-1_80	PD47703	colonies
PD47703-1_26	PD47703	colonies
PD47703-1_129	PD47703	colonies
PD47703-1_152	PD47703	colonies
PD47703-1_290	PD47703	colonies
PD47703-1_58	PD47703	colonies
PD47703-1_10	PD47703	colonies
PD47703-1_21	PD47703	colonies
